2026-02-23 12:08:04,613 [Worker-12: Creating project "basic_of_spring"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.practice:basic_of_spring:0.0.1-SNAPSHOT @ /Users/palak/eclipse-workspace/lpuspringboot/basic_of_spring/pom.xml.
2026-02-23 12:08:05,166 [Worker-12: Creating project "basic_of_spring"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /basic_of_spring/src/main/java
2026-02-23 12:08:05,167 [Worker-12: Creating project "basic_of_spring"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /basic_of_spring/src/main/resources
2026-02-23 12:08:05,168 [Worker-12: Creating project "basic_of_spring"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /basic_of_spring/src/test/java
2026-02-23 12:08:05,168 [Worker-12: Creating project "basic_of_spring"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /basic_of_spring/src/test/resources
2026-02-23 12:08:06,410 [Worker-3: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2026-02-23 12:08:06,418 [Worker-3: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2026-02-23 12:08:06,428 [Worker-3: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2026-02-23 12:08:06,430 [Worker-3: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2026-02-23 12:10:13,367 [Worker-28: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2026-02-23 12:10:13,383 [Worker-28: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2026-02-23 12:10:13,387 [Worker-28: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2026-02-23 12:10:13,389 [Worker-28: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2026-02-23 12:17:02,824 [Worker-30: Building] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.practice:basic_of_spring:0.0.1-SNAPSHOT @ /Users/palak/eclipse-workspace/lpuspringboot/basic_of_spring/pom.xml.
2026-02-23 12:17:02,998 [Worker-30: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
